id,tekst,sætning_id,speaker,tts_system,label,varighed_sek
google_chirp3_Achernar_0_0.wav,Søren cykler hver dag fra sin lejlighed til sit arbejde i Vildby. Ligesom mange andre foretrækker han cyklen frem for bilen. Det er hurtigt og nemt at komme rundt i byen.,0,google_chirp3_Achernar,google_chirp3,fake,10.01
google_chirp3_Achernar_1_1.wav,"I dag starter Søren sin tur ved at tage cyklen fra kælderen. Han kører ud på de cykelstier, der fører gennem byens gader. Cykelstierne gør turen mere sikker.",1,google_chirp3_Achernar,google_chirp3,fake,9.02
google_chirp3_Achernar_2_2.wav,"Kommunen har gjort meget for at forbedre cykelstierne. Søren mærker forskellen, når han cykler på de nye stier, som er adskilt fra bilerne.",2,google_chirp3_Achernar,google_chirp3,fake,7.18
google_chirp3_Achernar_3_3.wav,"Undervejs passerer Søren flere lyskryds med særlige cykellys. Disse lys giver cyklister grønt lys, før bilerne starter. Det gør det mere sikkert at cykle.",3,google_chirp3_Achernar,google_chirp3,fake,10.97
google_chirp3_Achernar_4_4.wav,"Søren ser også nye skilte for cyklister. Skiltene viser de bedste ruter og fortæller, hvor langt der er til forskellige steder. Det gør det nemmere at finde vej.",4,google_chirp3_Achernar,google_chirp3,fake,8.57
google_chirp3_Achernar_5_5.wav,"På vejen ser Søren en skolepatrulje, der hjælper børn sikkert over vejen. Han tænker på, hvor vigtigt det er med synlighed og sikkerhed, især i myldretiden.",5,google_chirp3_Achernar,google_chirp3,fake,8.26
google_chirp3_Achernar_6_6.wav,"I parken ser Søren et skilt om vintervedligeholdelse af cykelstierne. Kommunen sørger for, at stierne er ryddet og sikre, selv når det er sne og frost.",6,google_chirp3_Achernar,google_chirp3,fake,8.57
google_chirp3_Achernar_12_7.wav,"Kasper arbejder i Vildby Kommune og er ansvarlig for at fremme medborgerskab, frivillighed og samskabelse. Han tror på, at borgerne spiller en vigtig rolle i byens udvikling.",12,google_chirp3_Achernar,google_chirp3,fake,8.78
google_chirp3_Achernar_13_8.wav,"Dagen starter med et møde om et nyt projekt, hvor borgerne skal inddrages i at skabe nye kulturelle tilbud. Kasper og hans kolleger diskuterer, hvordan de bedst kan engagere borgerne.",13,google_chirp3_Achernar,google_chirp3,fake,9.1
google_chirp3_Achernar_14_9.wav,"Efter mødet besøger Kasper en lokal frivilligorganisation. Her møder han engagerede borgere, der arbejder med at arrangere events og aktiviteter for børn og unge i deres nærområde.",14,google_chirp3_Achernar,google_chirp3,fake,9.98
